onset	duration	trial_type	outcome noise	outcome value	isChangeTrial	current state	current outcome	current prediction
3.2227	1.6000	dynamic	10	1	0	224	239	139.7368
7.5697	1.6000	dynamic	10	1	0	224	243	237.2368
11.8993	1.6000	dynamic	10	0	0	224	224	243.1579
16.2292	1.6000	dynamic	10	1	0	224	225	232.5000
20.5591	1.6000	dynamic	10	1	0	224	229	231.3158
24.8888	1.6000	dynamic	10	0	0	224	215	225.3947
29.2190	1.6000	dynamic	10	0	1	188	175	226.5789
33.5482	1.6000	dynamic	10	0	0	188	188	185.5263
37.8786	1.6000	dynamic	10	1	0	188	183	187.8947
42.2249	1.6000	dynamic	10	1	0	188	189	190.2632
46.5544	1.6000	dynamic	10	0	0	188	172	185.9211
50.8841	1.6000	dynamic	10	1	0	188	191	185.1316
55.2149	1.6000	dynamic	10	0	0	188	214	188.2895
59.5615	1.6000	dynamic	10	1	0	188	178	206.4474
63.9081	1.6000	dynamic	10	0	0	188	170	178.4211
68.2370	1.6000	dynamic	10	1	0	188	193	175.2632
72.5679	1.6000	dynamic	10	1	0	188	209	191.8421
76.9137	1.6000	dynamic	10	1	1	116	119	209.2105
81.2444	1.6000	dynamic	10	0	0	116	116	120.0000
85.5909	1.6000	dynamic	10	1	0	116	126	119.6053
89.9207	1.6000	dynamic	10	0	0	116	123	125.9211
94.2676	1.6000	dynamic	10	1	0	116	111	124.7368
98.5973	1.6000	dynamic	10	1	0	116	103	110.9211
102.9272	1.6000	dynamic	10	1	0	116	117	105.3947
107.2743	1.6000	dynamic	10	0	0	116	103	116.0526
111.6198	1.6000	dynamic	10	1	0	116	109	110.9211
115.9671	1.6000	dynamic	10	0	0	116	104	110.9211
120.3131	1.6000	dynamic	10	1	0	116	114	108.1579
124.6603	1.6000	dynamic	10	1	0	116	126	114.4737
129.0067	1.6000	dynamic	10	1	1	222	211	127.5000
133.3533	1.6000	dynamic	10	1	0	222	191	206.4474
137.6996	1.6000	dynamic	10	1	0	222	227	195.3947
142.0466	1.6000	dynamic	10	0	0	222	228	223.4211
146.3933	1.6000	dynamic	10	0	0	222	227	224.6053
150.7393	1.6000	dynamic	10	1	0	222	234	226.5789
155.0864	1.6000	dynamic	10	0	1	41	35	236.0526
159.4331	1.6000	dynamic	10	1	0	41	36	35.9211
163.7796	1.6000	dynamic	10	1	0	41	54	31.1842
168.1256	1.6000	dynamic	10	1	0	41	36	43.0263
172.4720	1.6000	dynamic	10	1	0	41	40	40.2632
176.8190	1.6000	dynamic	10	0	0	41	30	35.5263
181.1669	1.6000	dynamic	10	0	0	41	49	33.5526
185.5121	1.6000	dynamic	10	1	0	41	32	41.8421
189.8594	1.6000	dynamic	10	0	0	41	42	37.8947
194.2059	1.6000	dynamic	10	1	0	41	40	40.6579
198.5530	1.6000	dynamic	10	0	0	41	39	33.5526
202.8992	1.6000	dynamic	10	0	1	245	241	38.2895
207.2456	1.6000	dynamic	10	1	0	245	221	237.6316
211.5923	1.6000	dynamic	10	0	0	245	236	220.6579
215.9390	1.6000	dynamic	10	0	0	245	246	233.2895
220.2858	1.6000	dynamic	10	0	0	245	268	236.4474
224.6316	1.6000	dynamic	10	0	0	245	243	247.8947
228.9788	1.6000	dynamic	10	1	0	245	249	246.3158
233.3422	1.6000	dynamic	10	1	0	245	272	248.2895
237.6881	1.6000	dynamic	10	0	0	245	233	263.2895
242.0354	1.6000	dynamic	10	1	0	245	260	248.2895
246.3812	1.6000	dynamic	10	1	0	245	260	255.3947
