onset	duration	trial_type	outcome noise	outcome value	isChangeTrial	current state	current outcome	current prediction
3.4148	1.6000	dynamic	25	1	0	178	194	149.6053
7.9975	1.6000	dynamic	25	0	0	178	163	194.6053
12.5804	1.6000	dynamic	25	1	0	178	182	179.2105
17.1469	1.6000	dynamic	25	1	0	178	181	182.7632
21.7301	1.6000	dynamic	25	0	0	178	200	184.3421
26.2965	1.6000	dynamic	25	1	1	174	178	188.2895
30.8796	1.6000	dynamic	25	1	0	174	129	177.6316
35.4626	1.6000	dynamic	25	1	0	174	168	177.2368
40.0480	1.6000	dynamic	25	1	0	174	151	174.8684
44.6480	1.6000	dynamic	25	0	0	174	169	173.2895
49.2448	1.6000	dynamic	25	1	0	174	131	171.7105
53.8277	1.6000	dynamic	25	1	0	174	190	171.7105
58.4109	1.6000	dynamic	25	1	0	174	195	174.4737
62.9941	1.6000	dynamic	25	0	0	174	151	176.4474
67.5773	1.6000	dynamic	25	1	0	174	144	176.4474
72.1603	1.6000	dynamic	25	1	0	174	174	174.4737
76.7430	1.6000	dynamic	25	1	0	174	149	176.0526
81.3261	1.6000	dynamic	25	1	0	174	196	174.0789
85.9089	1.6000	dynamic	25	0	0	174	195	176.0526
90.4924	1.6000	dynamic	25	0	0	174	172	176.0526
95.0756	1.6000	dynamic	25	0	0	174	188	172.5000
99.6582	1.6000	dynamic	25	0	0	174	172	176.0526
104.2412	1.6000	dynamic	25	0	0	174	182	174.8684
108.8242	1.6000	dynamic	25	1	0	174	183	179.2105
113.4099	1.6000	dynamic	25	1	0	174	170	180.3947
118.0072	1.6000	dynamic	25	1	1	167	187	172.8947
122.5904	1.6000	dynamic	25	0	0	167	184	183.5526
127.1731	1.6000	dynamic	25	0	0	167	176	185.1316
131.7561	1.6000	dynamic	25	0	0	167	173	178.8158
136.3417	1.6000	dynamic	25	1	0	167	164	175.2632
140.9389	1.6000	dynamic	25	0	0	167	199	173.6842
145.5222	1.6000	dynamic	25	0	0	167	135	178.4211
150.2216	1.6000	dynamic	25	0	0	167	141	178.4211
154.8213	1.6000	dynamic	25	0	0	167	141	177.2368
159.4210	1.6000	dynamic	25	0	0	167	151	171.7105
164.0041	1.6000	dynamic	25	0	0	167	186	163.0263
168.6038	1.6000	dynamic	25	0	0	167	157	164.6053
173.2061	1.6000	dynamic	25	1	0	167	211	159.0789
177.8198	1.6000	dynamic	25	1	0	167	150	174.0789
182.4199	1.6000	dynamic	25	0	0	167	213	176.0526
187.0193	1.6000	dynamic	25	0	0	167	177	176.4474
191.6027	1.6000	dynamic	25	0	0	167	116	175.6579
196.2045	1.6000	dynamic	25	0	0	167	173	117.2368
200.8187	1.6000	dynamic	25	0	1	232	200	149.6053
205.4514	1.6000	dynamic	25	1	0	232	252	157.5000
210.0511	1.6000	dynamic	25	0	0	232	237	217.8947
214.6510	1.6000	dynamic	25	1	0	232	205	216.3158
219.2675	1.6000	dynamic	25	1	0	232	263	215.5263
223.8672	1.6000	dynamic	25	1	0	232	250	213.5526
228.4692	1.6000	dynamic	25	0	0	232	200	217.1053
233.0833	1.6000	dynamic	25	0	0	232	227	218.6842
237.6827	1.6000	dynamic	25	0	0	232	228	219.4737
242.2827	1.6000	dynamic	25	1	0	232	282	219.0789
246.8820	1.6000	dynamic	25	0	0	232	256	248.2895
251.4822	1.6000	dynamic	25	1	0	232	229	248.2895
256.0820	1.6000	dynamic	25	1	0	232	280	244.3421
260.6981	1.6000	dynamic	25	0	0	232	206	246.3158
265.2977	1.6000	dynamic	25	0	0	232	235	245.1316
269.8973	1.6000	dynamic	25	1	1	243	272	249.8684
274.4971	1.6000	dynamic	25	0	0	243	205	250.6579
279.0974	1.6000	dynamic	25	0	0	243	238	250.6579
283.6969	1.6000	dynamic	25	1	0	243	230	251.0526
288.2965	1.6000	dynamic	25	0	0	243	213	249.8684
292.8958	1.6000	dynamic	25	1	0	243	284	246.7105
297.4956	1.6000	dynamic	25	0	0	243	251	250.6579
302.0953	1.6000	dynamic	25	0	0	243	258	251.0526
306.6950	1.6000	dynamic	25	0	1	296	281	250.2632
311.2946	1.6000	dynamic	25	1	0	296	294	254.6053
315.9113	1.6000	dynamic	25	1	0	296	285	258.1579
320.5110	1.6000	dynamic	25	0	0	296	288	259.3421
325.1104	1.6000	dynamic	25	1	0	296	258	260.9211
329.7272	1.6000	dynamic	25	1	0	296	268	259.7368
334.3435	1.6000	dynamic	25	0	0	296	266	261.7105
338.9595	1.6000	dynamic	25	0	1	41	24	263.2895
343.5762	1.6000	dynamic	25	1	0	41	7	32.7632
348.1926	1.6000	dynamic	25	0	0	41	37	31.1842
352.8093	1.6000	dynamic	25	1	0	41	47	30.3947
