onset	duration	trial_type	outcome noise	outcome value	isChangeTrial	current state	current outcome	current prediction
3.2534	1.6000	dynamic	10	0	0	217	226	149.6053
7.9004	1.6000	dynamic	10	1	0	217	225	223.0263
12.4967	1.6000	dynamic	10	1	0	217	214	223.4211
17.1116	1.6000	dynamic	10	0	1	169	165	219.8684
21.7083	1.6000	dynamic	10	0	0	169	180	166.5789
26.3065	1.6000	dynamic	10	1	0	169	159	173.2895
30.9030	1.6000	dynamic	10	1	0	169	159	166.5789
35.5180	1.6000	dynamic	10	0	1	242	234	162.6316
40.1145	1.6000	dynamic	10	1	0	242	233	232.5000
44.7294	1.6000	dynamic	10	1	0	242	254	228.9474
49.3269	1.6000	dynamic	10	1	1	271	280	239.2105
53.9244	1.6000	dynamic	10	0	0	271	279	265.2632
58.5385	1.6000	dynamic	10	0	0	271	274	274.7368
63.1357	1.6000	dynamic	10	0	0	271	276	273.9474
67.7498	1.6000	dynamic	10	1	1	181	184	273.5526
72.3638	1.6000	dynamic	10	1	0	181	173	183.9474
76.9781	1.6000	dynamic	10	0	0	181	201	178.0263
81.5921	1.6000	dynamic	10	1	0	181	197	184.3421
86.2061	1.6000	dynamic	10	0	0	181	174	188.2895
90.8201	1.6000	dynamic	10	0	0	181	180	182.7632
95.4342	1.6000	dynamic	10	1	0	181	182	178.8158
100.0485	1.6000	dynamic	10	1	0	181	179	179.2105
104.6625	1.6000	dynamic	10	1	0	181	169	176.8421
109.2765	1.6000	dynamic	10	1	0	181	164	174.8684
113.8909	1.6000	dynamic	10	1	0	181	168	172.8947
118.5049	1.6000	dynamic	10	0	0	181	186	172.1053
123.1189	1.6000	dynamic	10	0	0	181	193	175.2632
127.7333	1.6000	dynamic	10	0	0	181	189	178.4211
132.3471	1.6000	dynamic	10	1	0	181	170	178.8158
136.9612	1.6000	dynamic	10	1	1	65	69	177.2368
141.5754	1.6000	dynamic	10	0	0	65	66	69.8684
146.1898	1.6000	dynamic	10	1	0	65	48	67.8947
150.8034	1.6000	dynamic	10	0	0	65	62	60.0000
155.4174	1.6000	dynamic	10	1	0	65	48	60.7895
160.0317	1.6000	dynamic	10	1	0	65	66	56.8421
164.6457	1.6000	dynamic	10	0	0	65	68	59.6053
169.2599	1.6000	dynamic	10	1	0	65	75	60.0000
173.8738	1.6000	dynamic	10	0	0	65	75	61.1842
178.4882	1.6000	dynamic	10	1	0	65	74	66.3158
183.1022	1.6000	dynamic	10	1	1	92	97	70.6579
187.7163	1.6000	dynamic	10	1	0	92	110	84.8684
192.3303	1.6000	dynamic	10	1	0	92	106	103.0263
196.9443	1.6000	dynamic	10	1	0	92	93	105.0000
201.5576	1.6000	dynamic	10	1	0	92	75	99.8684
206.1719	1.6000	dynamic	10	1	0	92	100	92.3684
210.7868	1.6000	dynamic	10	0	0	92	96	96.3158
215.4006	1.6000	dynamic	10	0	0	92	98	93.1579
220.0150	1.6000	dynamic	10	1	0	92	82	94.7368
224.6288	1.6000	dynamic	10	0	0	92	89	92.7632
229.2430	1.6000	dynamic	10	0	0	92	90	89.2105
233.8570	1.6000	dynamic	10	1	0	92	95	92.3684
238.4715	1.6000	dynamic	10	0	0	92	103	94.3421
243.0844	1.6000	dynamic	10	1	1	139	144	96.7105
247.6993	1.6000	dynamic	10	0	0	139	115	142.5000
252.3134	1.6000	dynamic	10	1	0	139	150	128.6842
256.9278	1.6000	dynamic	10	1	0	139	162	137.7632
261.5417	1.6000	dynamic	10	1	0	139	136	149.2105
266.1557	1.6000	dynamic	10	1	0	139	131	141.3158
270.7688	1.6000	dynamic	10	0	0	139	146	133.0263
275.4006	1.6000	dynamic	10	0	0	139	151	137.7632
280.0147	1.6000	dynamic	10	1	0	139	136	140.9211
284.6288	1.6000	dynamic	10	1	0	139	138	138.5526
289.2429	1.6000	dynamic	10	0	0	139	150	138.1579
293.8570	1.6000	dynamic	10	1	0	139	135	140.9211
298.4712	1.6000	dynamic	10	0	0	139	153	138.5526
303.1019	1.6000	dynamic	10	0	0	139	140	141.7105
307.7160	1.6000	dynamic	10	0	1	183	193	138.5526
312.3300	1.6000	dynamic	10	1	0	183	190	192.2368
316.9611	1.6000	dynamic	10	1	0	183	162	190.2632
321.5917	1.6000	dynamic	10	0	0	183	187	176.8421
326.2228	1.6000	dynamic	10	1	0	183	194	180.3947
330.8534	1.6000	dynamic	10	0	0	183	196	183.5526
335.4835	1.6000	dynamic	10	0	0	183	186	189.4737
340.1153	1.6000	dynamic	10	0	0	183	172	185.1316
344.7459	1.6000	dynamic	10	0	0	183	174	183.9474
349.3754	1.6000	dynamic	10	0	0	183	189	180.7895
354.0076	1.6000	dynamic	10	1	0	183	185	183.1579
358.6384	1.6000	dynamic	10	0	1	171	170	185.5263
363.2690	1.6000	dynamic	10	1	0	171	168	182.3684
367.8998	1.6000	dynamic	10	0	0	171	165	179.2105
372.5308	1.6000	dynamic	10	0	0	171	177	173.6842
377.1615	1.6000	dynamic	10	0	0	171	174	176.4474
381.7915	1.6000	dynamic	10	0	0	171	185	174.8684
386.4231	1.6000	dynamic	10	0	1	203	209	177.6316
391.0542	1.6000	dynamic	10	1	0	203	215	201.3158
395.6849	1.6000	dynamic	10	0	0	203	200	209.2105
400.3157	1.6000	dynamic	10	0	0	203	207	204.0789
404.9464	1.6000	dynamic	10	1	0	203	217	204.8684
409.5774	1.6000	dynamic	10	1	0	203	218	209.6053
414.2082	1.6000	dynamic	10	1	0	203	191	213.9474
418.8380	1.6000	dynamic	10	0	1	274	277	205.2632
423.4696	1.6000	dynamic	10	1	0	274	284	276.7105
428.1006	1.6000	dynamic	10	1	0	274	268	281.0526
432.7312	1.6000	dynamic	10	1	0	274	270	276.7105
437.3613	1.6000	dynamic	10	0	0	274	276	273.9474
441.9929	1.6000	dynamic	10	1	1	148	160	276.7105
446.6238	1.6000	dynamic	10	0	0	148	155	161.0526
451.2545	1.6000	dynamic	10	0	0	148	152	158.2895
455.8853	1.6000	dynamic	10	0	0	148	156	156.3158
460.5154	1.6000	dynamic	10	0	0	148	157	148.8158
465.1460	1.6000	dynamic	10	0	0	148	155	151.5789
469.7777	1.6000	dynamic	10	1	0	148	150	151.5789
474.4086	1.6000	dynamic	10	0	0	148	151	149.2105
479.0393	1.6000	dynamic	10	0	0	148	148	150.0000
483.6701	1.6000	dynamic	10	1	1	219	206	148.4211
488.3008	1.6000	dynamic	10	1	0	219	221	205.6579
492.9317	1.6000	dynamic	10	1	0	219	212	213.1579
497.5627	1.6000	dynamic	10	0	0	219	211	214.3421
502.1933	1.6000	dynamic	10	1	0	219	218	213.1579
506.8242	1.6000	dynamic	10	1	1	241	223	215.1316
511.4550	1.6000	dynamic	10	1	0	241	245	217.5000
516.1025	1.6000	dynamic	10	1	0	241	230	234.8684
520.7323	1.6000	dynamic	10	1	0	241	248	228.9474
525.3642	1.6000	dynamic	10	1	0	241	248	238.8158
529.9939	1.6000	dynamic	10	0	0	241	265	241.5789
534.6257	1.6000	dynamic	10	1	0	241	245	253.4211
539.2731	1.6000	dynamic	10	0	0	241	244	248.2895
543.9042	1.6000	dynamic	10	1	0	241	239	245.5263
548.5351	1.6000	dynamic	10	1	0	241	258	239.6053
553.1817	1.6000	dynamic	10	0	0	241	240	247.5000
