onset	duration	trial_type	outcome noise	outcome value	isChangeTrial	current state	current outcome	current prediction
3.2368	1.6000	dynamic	25	0	0	166	176	150.3947
7.8666	1.6000	dynamic	25	1	0	166	201	175.2632
12.4637	1.6000	dynamic	25	1	0	166	176	184.3421
17.0771	1.6000	dynamic	25	0	0	166	114	178.0263
21.6762	1.6000	dynamic	25	1	0	166	157	156.7105
26.2730	1.6000	dynamic	25	0	0	166	138	156.3158
30.8691	1.6000	dynamic	25	0	0	166	198	153.9474
35.4678	1.6000	dynamic	25	0	1	205	160	163.4211
40.0650	1.6000	dynamic	25	1	0	205	194	160.6579
44.6779	1.6000	dynamic	25	1	0	205	192	167.7632
49.2931	1.6000	dynamic	25	0	0	205	195	167.7632
53.9074	1.6000	dynamic	25	1	0	205	188	172.8947
58.5215	1.6000	dynamic	25	0	0	205	228	174.4737
63.1178	1.6000	dynamic	25	0	1	63	73	204.0789
67.7162	1.6000	dynamic	25	0	0	63	62	74.6053
72.3294	1.6000	dynamic	25	0	0	63	111	68.2895
76.9444	1.6000	dynamic	25	1	0	63	72	80.9211
81.5587	1.6000	dynamic	25	0	0	63	75	78.9474
86.1725	1.6000	dynamic	25	0	0	63	111	76.9737
90.7866	1.6000	dynamic	25	0	0	63	54	94.3421
95.4010	1.6000	dynamic	25	0	0	63	75	79.7368
100.0149	1.6000	dynamic	25	1	0	63	36	77.3684
104.6291	1.6000	dynamic	25	1	0	63	36	70.6579
109.2423	1.6000	dynamic	25	1	0	63	56	67.1053
113.8574	1.6000	dynamic	25	0	0	63	61	62.3684
118.4712	1.6000	dynamic	25	1	0	63	73	61.9737
123.0854	1.6000	dynamic	25	0	0	63	86	64.3421
127.6992	1.6000	dynamic	25	1	0	63	95	70.6579
132.3137	1.6000	dynamic	25	1	1	263	238	70.6579
136.9278	1.6000	dynamic	25	0	0	263	243	236.8421
141.5417	1.6000	dynamic	25	1	0	263	271	239.6053
146.1558	1.6000	dynamic	25	0	0	263	270	252.2368
150.7698	1.6000	dynamic	25	0	0	263	276	261.3158
155.4173	1.6000	dynamic	25	1	0	263	284	264.8684
160.0317	1.6000	dynamic	25	1	0	263	291	271.9737
164.6447	1.6000	dynamic	25	1	1	173	139	280.2632
169.2598	1.6000	dynamic	25	1	0	173	205	138.5526
173.8740	1.6000	dynamic	25	1	0	173	185	170.9211
178.4874	1.6000	dynamic	25	0	1	262	237	178.4211
183.1022	1.6000	dynamic	25	1	0	262	287	191.8421
187.7152	1.6000	dynamic	25	0	0	262	273	251.4474
192.3304	1.6000	dynamic	25	0	0	262	219	259.3421
196.9442	1.6000	dynamic	25	1	0	262	281	246.7105
201.5583	1.6000	dynamic	25	1	1	166	201	251.4474
