onset	duration	trial_type	outcome noise	outcome value	isChangeTrial	current state	current outcome	current prediction
3.4188	1.6000	dynamic	10	0	0	280	282	134.2105
8.2685	1.6000	dynamic	10	0	0	280	286	270.0000
12.8546	1.6000	dynamic	10	1	0	280	282	281.8421
17.4512	1.6000	dynamic	10	1	1	62	61	280.6579
22.0345	1.6000	dynamic	10	1	0	62	63	72.2368
26.6204	1.6000	dynamic	10	1	0	62	68	68.6842
31.2335	1.6000	dynamic	10	0	0	62	53	67.8947
35.8168	1.6000	dynamic	10	1	0	62	78	61.5789
40.4002	1.6000	dynamic	10	1	0	62	54	69.8684
45.0020	1.6000	dynamic	10	1	0	62	58	61.9737
49.5999	1.6000	dynamic	10	1	1	75	82	63.9474
54.1826	1.6000	dynamic	10	0	0	75	78	70.6579
58.7656	1.6000	dynamic	10	0	0	75	97	72.6316
63.3511	1.6000	dynamic	10	0	0	75	75	85.2632
67.9481	1.6000	dynamic	10	1	0	75	89	80.9211
72.5311	1.6000	dynamic	10	0	0	75	67	83.6842
77.1142	1.6000	dynamic	10	1	1	93	100	76.9737
81.6972	1.6000	dynamic	10	0	0	93	101	91.9737
86.2806	1.6000	dynamic	10	1	0	93	91	93.9474
90.8632	1.6000	dynamic	10	0	0	93	68	90.0000
95.4466	1.6000	dynamic	10	1	0	93	88	84.0789
100.0322	1.6000	dynamic	10	0	0	93	83	84.8684
104.6290	1.6000	dynamic	10	0	0	93	81	85.6579
109.2121	1.6000	dynamic	10	0	0	93	108	84.0789
113.7951	1.6000	dynamic	10	0	0	93	87	94.7368
118.3785	1.6000	dynamic	10	1	0	93	86	91.9737
122.9615	1.6000	dynamic	10	0	1	210	221	88.4211
127.5612	1.6000	dynamic	10	1	0	210	201	210.3947
132.1443	1.6000	dynamic	10	0	0	210	205	204.8684
136.7270	1.6000	dynamic	10	0	1	125	160	206.8421
141.3104	1.6000	dynamic	10	0	0	125	138	183.5526
145.8934	1.6000	dynamic	10	1	0	125	124	156.3158
150.4931	1.6000	dynamic	10	1	0	125	132	140.1316
155.0924	1.6000	dynamic	10	1	0	125	115	135.7895
159.6754	1.6000	dynamic	10	0	0	125	128	123.1579
164.2752	1.6000	dynamic	10	1	0	125	134	125.9211
168.8749	1.6000	dynamic	10	1	0	125	130	127.5000
173.4583	1.6000	dynamic	10	0	0	125	109	127.1053
178.0576	1.6000	dynamic	10	1	0	125	119	118.8158
182.6574	1.6000	dynamic	10	0	0	125	126	120.0000
187.2406	1.6000	dynamic	10	1	0	125	127	123.1579
191.8404	1.6000	dynamic	10	0	0	125	125	124.3421
196.4403	1.6000	dynamic	10	0	0	125	129	124.3421
201.0395	1.6000	dynamic	10	0	0	125	136	125.5263
205.6399	1.6000	dynamic	10	0	0	125	122	131.0526
210.2389	1.6000	dynamic	10	0	0	125	117	127.1053
214.8384	1.6000	dynamic	10	0	0	125	122	124.7368
