onset	duration	trial_type	outcome noise	outcome value	isChangeTrial	current state	current outcome	current prediction
3.2509	1.6000	dynamic	25	1	0	76	68	144.0789
7.8984	1.6000	dynamic	25	0	0	76	70	69.0789
12.5123	1.6000	dynamic	25	0	0	76	45	70.2632
17.1256	1.6000	dynamic	25	1	0	76	71	56.4474
21.7404	1.6000	dynamic	25	0	0	76	96	73.0263
26.3371	1.6000	dynamic	25	1	0	76	79	96.7105
30.9351	1.6000	dynamic	25	0	0	76	81	82.5000
35.5492	1.6000	dynamic	25	0	0	76	60	83.2895
40.1628	1.6000	dynamic	25	1	0	76	94	60.7895
44.8110	1.6000	dynamic	25	0	0	76	107	93.9474
49.4239	1.6000	dynamic	25	0	0	76	58	106.9737
54.0390	1.6000	dynamic	25	0	0	76	126	65.1316
58.6532	1.6000	dynamic	25	1	0	76	53	119.6053
63.2673	1.6000	dynamic	25	0	0	76	82	61.5789
67.8815	1.6000	dynamic	25	0	0	76	87	80.5263
72.4954	1.6000	dynamic	25	0	1	150	168	82.5000
77.1095	1.6000	dynamic	25	1	0	150	155	165.3947
81.7228	1.6000	dynamic	25	0	0	150	165	151.9737
86.3378	1.6000	dynamic	25	1	0	150	195	163.4211
90.9509	1.6000	dynamic	25	1	0	150	149	190.6579
95.5652	1.6000	dynamic	25	1	0	150	156	150.0000
100.1791	1.6000	dynamic	25	0	0	150	120	155.1316
104.7941	1.6000	dynamic	25	1	0	150	105	123.5526
109.4072	1.6000	dynamic	25	1	0	150	199	108.5526
114.0222	1.6000	dynamic	25	0	0	150	202	195.3947
118.6366	1.6000	dynamic	25	0	0	150	136	199.3421
123.2506	1.6000	dynamic	25	0	0	150	181	136.1842
127.8646	1.6000	dynamic	25	1	0	150	121	176.8421
132.4787	1.6000	dynamic	25	0	1	183	160	122.7632
137.0929	1.6000	dynamic	25	0	0	183	192	160.6579
141.7069	1.6000	dynamic	25	0	0	183	194	188.2895
146.3209	1.6000	dynamic	25	1	1	29	7	189.8684
150.9341	1.6000	dynamic	25	1	0	29	7	15.7895
155.5649	1.6000	dynamic	25	0	0	29	25	11.4474
160.1791	1.6000	dynamic	25	0	0	29	1	24.8684
164.7933	1.6000	dynamic	25	0	0	29	0	10.6579
169.4082	1.6000	dynamic	25	1	0	29	22	9.0789
174.0223	1.6000	dynamic	25	1	0	29	32	23.6842
178.6364	1.6000	dynamic	25	0	0	29	0	32.3684
183.2505	1.6000	dynamic	25	0	1	190	168	32.3684
187.8646	1.6000	dynamic	25	1	0	190	187	166.9737
192.4779	1.6000	dynamic	25	0	0	190	160	181.1842
197.0927	1.6000	dynamic	25	0	0	190	199	161.0526
201.7227	1.6000	dynamic	25	1	0	190	200	197.7632
206.3375	1.6000	dynamic	25	0	1	97	99	195.7895
210.9513	1.6000	dynamic	25	1	0	97	92	102.2368
215.5658	1.6000	dynamic	25	0	0	97	79	100.2632
220.1790	1.6000	dynamic	25	0	0	97	94	85.6579
224.7938	1.6000	dynamic	25	0	0	97	102	93.9474
229.4072	1.6000	dynamic	25	1	0	97	73	101.8421
234.0381	1.6000	dynamic	25	1	0	97	50	75.7895
238.6696	1.6000	dynamic	25	1	0	97	114	53.6842
243.2998	1.6000	dynamic	25	1	1	299	300	108.9474
247.9136	1.6000	dynamic	25	0	0	299	266	293.2895
252.5286	1.6000	dynamic	25	1	0	299	234	265.2632
257.1586	1.6000	dynamic	25	0	0	299	281	232.1053
