onset	duration	trial_type	outcome noise	outcome value	isChangeTrial	current state	current outcome	current prediction
3.4289	1.6000	dynamic	25	1	0	172	181	175.6579
8.0258	1.6000	dynamic	25	0	0	172	169	183.5526
12.6092	1.6000	dynamic	25	1	0	172	158	183.9474
17.1755	1.6000	dynamic	25	1	0	172	163	168.9474
21.7585	1.6000	dynamic	25	1	0	172	149	172.8947
26.3413	1.6000	dynamic	25	0	1	273	289	152.3684
30.9246	1.6000	dynamic	25	1	0	273	230	283.4211
35.5076	1.6000	dynamic	25	1	0	273	248	252.6316
40.0907	1.6000	dynamic	25	1	0	273	287	245.1316
44.6735	1.6000	dynamic	25	1	0	273	248	261.3158
49.2568	1.6000	dynamic	25	1	0	273	247	256.5789
53.8395	1.6000	dynamic	25	0	0	273	258	249.4737
58.4562	1.6000	dynamic	25	0	0	273	234	249.0789
63.0392	1.6000	dynamic	25	0	0	273	269	236.8421
67.6222	1.6000	dynamic	25	1	0	273	268	246.3158
72.2050	1.6000	dynamic	25	0	0	273	256	249.0789
76.7880	1.6000	dynamic	25	0	0	273	241	248.6842
81.3714	1.6000	dynamic	25	1	0	273	271	234.4737
85.9541	1.6000	dynamic	25	1	0	273	238	250.6579
90.5375	1.6000	dynamic	25	1	0	273	242	238.4211
95.1202	1.6000	dynamic	25	1	0	273	266	241.5789
99.7032	1.6000	dynamic	25	0	0	273	282	248.6842
104.2866	1.6000	dynamic	25	0	0	273	260	262.5000
108.8696	1.6000	dynamic	25	1	0	273	276	258.5526
113.4523	1.6000	dynamic	25	1	0	273	251	267.2368
118.0523	1.6000	dynamic	25	1	0	273	273	251.4474
122.6521	1.6000	dynamic	25	1	0	273	264	262.8947
127.2351	1.6000	dynamic	25	0	0	273	272	262.1053
131.8352	1.6000	dynamic	25	0	0	273	276	260.1316
136.4175	1.6000	dynamic	25	0	0	273	271	261.3158
141.0175	1.6000	dynamic	25	1	0	273	256	264.8684
145.6173	1.6000	dynamic	25	0	0	273	265	256.9737
150.2003	1.6000	dynamic	25	0	0	273	234	253.8158
154.7998	1.6000	dynamic	25	1	0	273	283	236.8421
159.3827	1.6000	dynamic	25	0	0	273	241	272.3684
163.9827	1.6000	dynamic	25	1	1	78	76	260.5263
168.5825	1.6000	dynamic	25	0	0	78	80	87.6316
173.1821	1.6000	dynamic	25	0	0	78	59	72.6316
177.7649	1.6000	dynamic	25	1	1	265	246	58.0263
182.3649	1.6000	dynamic	25	1	0	265	272	240.7895
186.9478	1.6000	dynamic	25	0	0	265	223	261.7105
191.5476	1.6000	dynamic	25	1	0	265	218	251.0526
196.1474	1.6000	dynamic	25	0	0	265	255	228.1579
200.7304	1.6000	dynamic	25	1	0	265	270	237.2368
205.3301	1.6000	dynamic	25	1	0	265	243	253.8158
209.9294	1.6000	dynamic	25	0	0	265	222	244.7368
214.5295	1.6000	dynamic	25	1	0	265	265	225.3947
219.1292	1.6000	dynamic	25	1	1	214	222	249.4737
223.7290	1.6000	dynamic	25	1	0	214	227	224.6053
228.3268	1.6000	dynamic	25	0	0	214	178	225.3947
232.9283	1.6000	dynamic	25	1	0	214	272	211.1842
237.5281	1.6000	dynamic	25	1	0	214	204	250.2632
242.1275	1.6000	dynamic	25	0	0	214	192	229.7368
246.7274	1.6000	dynamic	25	0	0	214	218	211.9737
251.3269	1.6000	dynamic	25	1	0	214	172	217.8947
255.9268	1.6000	dynamic	25	0	0	214	228	202.8947
260.5429	1.6000	dynamic	25	0	0	214	253	209.6053
265.1430	1.6000	dynamic	25	1	0	214	213	224.2105
269.7425	1.6000	dynamic	25	0	0	214	209	221.0526
274.3590	1.6000	dynamic	25	0	0	214	195	210.0000
278.9587	1.6000	dynamic	25	1	0	214	239	202.1053
283.5584	1.6000	dynamic	25	1	0	214	182	223.4211
288.1581	1.6000	dynamic	25	1	0	214	255	205.2632
292.7578	1.6000	dynamic	25	0	0	214	220	235.2632
297.3572	1.6000	dynamic	25	0	0	214	196	223.8158
301.9569	1.6000	dynamic	25	0	0	214	218	205.2632
306.5569	1.6000	dynamic	25	1	1	16	37	216.7105
311.1731	1.6000	dynamic	25	0	0	16	52	39.0789
315.7897	1.6000	dynamic	25	1	0	16	36	46.9737
320.4061	1.6000	dynamic	25	0	0	16	14	40.2632
325.0221	1.6000	dynamic	25	1	0	16	21	30.0000
329.6388	1.6000	dynamic	25	1	1	40	63	28.4211
334.2551	1.6000	dynamic	25	1	0	40	33	46.5789
338.8712	1.6000	dynamic	25	0	0	40	104	37.1053
343.5046	1.6000	dynamic	25	1	0	40	17	62.3684
348.1376	1.6000	dynamic	25	1	1	266	241	35.5263
352.7540	1.6000	dynamic	25	0	0	266	273	217.8947
357.3703	1.6000	dynamic	25	0	0	266	247	246.3158
361.9864	1.6000	dynamic	25	1	0	266	295	238.0263
366.6028	1.6000	dynamic	25	0	0	266	256	263.6842
371.2361	1.6000	dynamic	25	1	0	266	248	259.3421
375.8521	1.6000	dynamic	25	1	0	266	255	251.4474
380.4852	1.6000	dynamic	25	1	0	266	280	251.8421
385.1016	1.6000	dynamic	25	0	0	266	275	258.9474
389.7180	1.6000	dynamic	25	1	0	266	299	260.9211
394.3343	1.6000	dynamic	25	1	0	266	280	263.2895
398.9677	1.6000	dynamic	25	1	1	92	132	258.5526
403.6007	1.6000	dynamic	25	0	0	92	113	166.9737
408.2337	1.6000	dynamic	25	1	0	92	100	151.5789
412.9001	1.6000	dynamic	25	0	0	92	97	116.0526
417.5331	1.6000	dynamic	25	1	0	92	91	101.8421
422.1662	1.6000	dynamic	25	0	0	92	98	93.9474
426.7989	1.6000	dynamic	25	0	0	92	63	95.9211
431.4487	1.6000	dynamic	25	0	0	92	102	79.7368
436.0817	1.6000	dynamic	25	1	0	92	109	91.5789
440.7147	1.6000	dynamic	25	0	0	92	121	101.4474
445.3478	1.6000	dynamic	25	1	0	92	109	106.9737
449.9811	1.6000	dynamic	25	0	0	92	91	105.7895
454.6141	1.6000	dynamic	25	0	0	92	88	101.0526
459.2471	1.6000	dynamic	25	0	0	92	86	100.6579
463.8799	1.6000	dynamic	25	0	0	92	129	93.9474
468.5132	1.6000	dynamic	25	1	0	92	101	115.6579
473.1625	1.6000	dynamic	25	1	0	92	107	105.0000
477.7959	1.6000	dynamic	25	0	0	92	117	109.3421
482.4287	1.6000	dynamic	25	0	0	92	120	107.7632
487.0786	1.6000	dynamic	25	0	0	92	79	112.5000
491.7285	1.6000	dynamic	25	0	0	92	136	80.9211
496.3778	1.6000	dynamic	25	0	0	92	60	110.1316
501.0278	1.6000	dynamic	25	1	0	92	89	96.3158
505.6775	1.6000	dynamic	25	0	0	92	74	94.3421
510.3272	1.6000	dynamic	25	0	1	13	40	80.5263
514.9767	1.6000	dynamic	25	0	0	13	18	57.6316
519.6266	1.6000	dynamic	25	1	0	13	10	42.2368
524.2763	1.6000	dynamic	25	1	0	13	25	31.1842
528.9260	1.6000	dynamic	25	0	1	297	258	28.0263
533.6088	1.6000	dynamic	25	1	0	297	273	240.0000
538.2588	1.6000	dynamic	25	1	0	297	278	264.4737
542.9252	1.6000	dynamic	25	0	0	297	288	269.2105
547.5916	1.6000	dynamic	25	0	0	297	233	270.0000
552.2909	1.6000	dynamic	25	1	1	264	281	247.8947
