onset	duration	trial_type	outcome noise	outcome value	isChangeTrial	current state	current outcome	current prediction
3.2500	1.6000	dynamic	10	0	0	256	268	150.7895
7.8805	1.6000	dynamic	10	1	0	256	254	264.8684
12.4776	1.6000	dynamic	10	1	0	256	261	259.7368
17.0907	1.6000	dynamic	10	0	0	256	248	259.7368
21.6880	1.6000	dynamic	10	0	0	256	250	254.6053
26.2856	1.6000	dynamic	10	0	0	256	255	252.6316
30.9165	1.6000	dynamic	10	1	1	175	180	259.7368
35.5314	1.6000	dynamic	10	1	0	175	180	183.1579
40.1454	1.6000	dynamic	10	1	0	175	166	178.8158
44.7588	1.6000	dynamic	10	0	0	175	177	171.3158
49.3560	1.6000	dynamic	10	0	1	101	91	174.8684
53.9710	1.6000	dynamic	10	0	0	101	106	93.9474
58.5843	1.6000	dynamic	10	0	0	101	101	101.0526
63.1827	1.6000	dynamic	10	1	0	101	76	100.6579
67.7961	1.6000	dynamic	10	1	0	101	104	83.2895
72.4104	1.6000	dynamic	10	1	0	101	114	98.2895
77.0410	1.6000	dynamic	10	1	0	101	101	105.0000
81.6556	1.6000	dynamic	10	1	0	101	87	101.0526
86.2698	1.6000	dynamic	10	0	0	101	109	93.9474
90.8828	1.6000	dynamic	10	0	0	101	101	104.2105
95.4971	1.6000	dynamic	10	0	0	101	104	101.8421
100.1111	1.6000	dynamic	10	1	0	101	94	106.1842
104.7261	1.6000	dynamic	10	1	0	101	104	98.6842
109.3393	1.6000	dynamic	10	1	1	241	249	96.3158
113.9541	1.6000	dynamic	10	0	0	241	234	248.2895
118.5677	1.6000	dynamic	10	1	0	241	237	241.1842
123.1816	1.6000	dynamic	10	0	0	241	245	238.4211
127.7955	1.6000	dynamic	10	0	0	241	236	239.2105
132.4098	1.6000	dynamic	10	1	0	241	238	238.4211
137.0239	1.6000	dynamic	10	0	0	241	253	228.9474
141.6388	1.6000	dynamic	10	1	0	241	254	244.7368
146.2520	1.6000	dynamic	10	1	0	241	238	249.4737
150.8663	1.6000	dynamic	10	0	0	241	239	250.2632
155.4811	1.6000	dynamic	10	1	0	241	250	240.3947
160.0942	1.6000	dynamic	10	0	0	241	235	246.7105
164.7082	1.6000	dynamic	10	1	0	241	250	239.6053
169.3226	1.6000	dynamic	10	1	0	241	228	245.1316
173.9377	1.6000	dynamic	10	1	1	94	94	234.8684
178.5509	1.6000	dynamic	10	1	0	94	77	94.7368
183.1647	1.6000	dynamic	10	1	0	94	102	77.3684
187.7790	1.6000	dynamic	10	0	1	198	187	89.6053
192.3929	1.6000	dynamic	10	1	0	198	206	183.1579
197.0074	1.6000	dynamic	10	1	0	198	173	183.1579
201.6212	1.6000	dynamic	10	1	0	198	199	184.3421
206.2359	1.6000	dynamic	10	0	0	198	189	185.1316
210.8836	1.6000	dynamic	10	0	1	229	240	190.6579
215.4978	1.6000	dynamic	10	0	0	229	244	226.9737
220.1110	1.6000	dynamic	10	1	0	229	229	231.3158
224.7252	1.6000	dynamic	10	1	0	229	238	234.0789
229.3391	1.6000	dynamic	10	0	0	229	235	226.5789
233.9541	1.6000	dynamic	10	1	0	229	218	238.0263
238.5672	1.6000	dynamic	10	1	0	229	231	226.9737
243.1825	1.6000	dynamic	10	1	0	229	238	222.6316
247.7965	1.6000	dynamic	10	1	0	229	226	224.6053
252.4096	1.6000	dynamic	10	1	0	229	226	231.7105
257.0237	1.6000	dynamic	10	1	0	229	214	220.6579
261.6387	1.6000	dynamic	10	1	0	229	243	226.1842
266.2527	1.6000	dynamic	10	1	0	229	222	224.6053
270.8662	1.6000	dynamic	10	1	0	229	236	223.8158
275.4967	1.6000	dynamic	10	0	0	229	232	219.0789
280.1108	1.6000	dynamic	10	0	0	229	226	234.8684
284.7414	1.6000	dynamic	10	0	0	229	221	218.2895
289.3569	1.6000	dynamic	10	0	0	229	247	229.7368
293.9865	1.6000	dynamic	10	0	0	229	215	225.7895
298.6175	1.6000	dynamic	10	0	0	229	232	233.6842
303.2483	1.6000	dynamic	10	1	0	229	234	220.2632
307.8789	1.6000	dynamic	10	1	0	229	234	234.8684
312.4930	1.6000	dynamic	10	1	0	229	240	216.3158
317.1250	1.6000	dynamic	10	0	0	229	249	224.6053
321.7546	1.6000	dynamic	10	1	0	229	243	236.8421
326.3865	1.6000	dynamic	10	0	0	229	219	251.0526
331.0174	1.6000	dynamic	10	0	0	229	234	227.7632
335.6473	1.6000	dynamic	10	1	0	229	224	240.0000
340.2790	1.6000	dynamic	10	0	0	229	223	221.8421
344.9086	1.6000	dynamic	10	0	1	262	263	227.3684
349.5395	1.6000	dynamic	10	0	0	262	269	258.9474
354.1715	1.6000	dynamic	10	1	0	262	264	251.8421
358.8023	1.6000	dynamic	10	1	0	262	251	266.8421
363.4324	1.6000	dynamic	10	1	1	185	189	263.2895
368.0629	1.6000	dynamic	10	1	0	185	180	189.0789
372.6934	1.6000	dynamic	10	0	0	185	189	187.8947
377.3245	1.6000	dynamic	10	1	0	185	173	176.4474
381.9562	1.6000	dynamic	10	0	1	93	101	180.7895
386.5867	1.6000	dynamic	10	0	0	93	94	105.3947
391.2503	1.6000	dynamic	10	0	0	93	91	96.3158
395.8813	1.6000	dynamic	10	1	0	93	93	91.1842
400.5465	1.6000	dynamic	10	0	0	93	99	90.7895
405.1761	1.6000	dynamic	10	1	1	107	111	95.5263
409.8070	1.6000	dynamic	10	0	0	107	128	102.2368
414.4378	1.6000	dynamic	10	0	0	107	103	112.5000
419.0695	1.6000	dynamic	10	1	0	107	116	109.3421
423.7003	1.6000	dynamic	10	0	0	107	109	108.1579
428.3303	1.6000	dynamic	10	0	0	107	98	111.7105
432.9609	1.6000	dynamic	10	1	0	107	104	99.4737
