onset	duration	trial_type	outcome noise	outcome value	isChangeTrial	current state	current outcome	current prediction
3.2559	1.6000	dynamic	25	1	0	295	269	146.0526
7.9030	1.6000	dynamic	25	0	0	295	285	257.3684
12.4993	1.6000	dynamic	25	1	0	295	247	270.0000
17.1145	1.6000	dynamic	25	1	0	295	297	261.7105
21.7123	1.6000	dynamic	25	0	0	295	268	285.7895
26.3094	1.6000	dynamic	25	1	0	295	299	280.2632
30.9058	1.6000	dynamic	25	0	0	295	297	286.9737
35.5199	1.6000	dynamic	25	0	0	295	291	290.5263
40.1348	1.6000	dynamic	25	1	0	295	260	289.7368
44.7491	1.6000	dynamic	25	1	0	295	258	282.2368
49.3462	1.6000	dynamic	25	0	0	295	192	278.6842
53.9606	1.6000	dynamic	25	1	1	87	32	208.8158
58.5579	1.6000	dynamic	25	1	0	87	110	63.1579
63.1719	1.6000	dynamic	25	1	0	87	54	91.9737
67.7860	1.6000	dynamic	25	0	0	87	70	69.4737
72.3829	1.6000	dynamic	25	1	1	39	30	69.4737
76.9807	1.6000	dynamic	25	0	0	39	60	50.9211
81.5780	1.6000	dynamic	25	0	0	39	22	58.0263
86.1916	1.6000	dynamic	25	0	0	39	48	44.6053
90.8056	1.6000	dynamic	25	0	0	39	5	46.5789
95.4205	1.6000	dynamic	25	0	0	39	62	39.4737
100.0338	1.6000	dynamic	25	1	0	39	44	50.9211
104.6486	1.6000	dynamic	25	1	0	39	34	45.7895
109.2626	1.6000	dynamic	25	1	0	39	32	42.6316
113.8766	1.6000	dynamic	25	1	1	145	159	36.7105
118.4909	1.6000	dynamic	25	1	0	145	159	151.9737
123.1047	1.6000	dynamic	25	1	0	145	134	157.1053
127.7190	1.6000	dynamic	25	1	0	145	140	147.2368
132.3320	1.6000	dynamic	25	0	0	145	189	143.6842
136.9472	1.6000	dynamic	25	1	0	145	127	163.4211
141.5612	1.6000	dynamic	25	1	0	145	94	149.6053
146.1755	1.6000	dynamic	25	0	0	145	110	112.5000
150.7894	1.6000	dynamic	25	0	0	145	185	108.9474
155.4035	1.6000	dynamic	25	1	1	104	106	165.0000
160.0175	1.6000	dynamic	25	0	0	104	116	133.0263
164.6319	1.6000	dynamic	25	1	0	104	118	132.6316
169.2459	1.6000	dynamic	25	1	0	104	117	125.9211
173.8767	1.6000	dynamic	25	1	0	104	94	124.3421
178.4896	1.6000	dynamic	25	0	0	104	163	111.3158
183.1040	1.6000	dynamic	25	1	1	200	256	126.3158
187.7191	1.6000	dynamic	25	1	0	200	195	221.4474
192.3320	1.6000	dynamic	25	1	0	200	207	205.2632
196.9465	1.6000	dynamic	25	1	0	200	196	209.2105
201.5612	1.6000	dynamic	25	1	0	200	193	200.1316
206.1754	1.6000	dynamic	25	0	0	200	212	196.9737
210.7887	1.6000	dynamic	25	1	0	200	181	204.4737
215.4036	1.6000	dynamic	25	0	0	200	220	191.0526
220.0167	1.6000	dynamic	25	0	0	200	150	199.7368
224.6319	1.6000	dynamic	25	1	0	200	180	173.6842
229.2459	1.6000	dynamic	25	1	0	200	213	176.0526
233.8594	1.6000	dynamic	25	1	1	178	162	198.5526
238.4730	1.6000	dynamic	25	0	0	178	210	178.8158
243.0870	1.6000	dynamic	25	0	0	178	195	188.6842
247.7023	1.6000	dynamic	25	0	0	178	179	191.0526
252.3165	1.6000	dynamic	25	1	0	178	176	186.7105
256.9470	1.6000	dynamic	25	1	1	184	118	182.7632
261.5615	1.6000	dynamic	25	0	0	184	178	122.7632
266.1754	1.6000	dynamic	25	0	0	184	175	140.9211
270.7897	1.6000	dynamic	25	0	0	184	183	152.3684
275.4194	1.6000	dynamic	25	0	0	184	179	170.9211
280.0345	1.6000	dynamic	25	0	0	184	198	176.8421
284.6476	1.6000	dynamic	25	0	0	184	154	184.3421
289.2796	1.6000	dynamic	25	1	0	184	228	170.1316
293.8934	1.6000	dynamic	25	1	0	184	164	199.3421
298.5077	1.6000	dynamic	25	1	0	184	260	178.4211
303.1384	1.6000	dynamic	25	1	0	184	163	227.7632
307.7693	1.6000	dynamic	25	1	0	184	199	187.5000
312.3987	1.6000	dynamic	25	1	1	246	266	199.3421
317.0306	1.6000	dynamic	25	0	0	246	250	251.4474
321.6782	1.6000	dynamic	25	1	0	246	253	251.8421
326.3091	1.6000	dynamic	25	0	0	246	256	255.7895
330.9393	1.6000	dynamic	25	0	0	246	281	257.7632
335.5704	1.6000	dynamic	25	1	0	246	202	260.9211
340.2015	1.6000	dynamic	25	1	0	246	283	228.9474
344.8322	1.6000	dynamic	25	1	0	246	262	255.7895
349.4630	1.6000	dynamic	25	1	0	246	210	262.8947
354.0936	1.6000	dynamic	25	1	0	246	281	224.6053
358.7242	1.6000	dynamic	25	1	0	246	245	255.3947
363.3552	1.6000	dynamic	25	0	0	246	256	251.0526
367.9861	1.6000	dynamic	25	1	0	246	228	253.0263
372.6171	1.6000	dynamic	25	0	0	246	213	241.9737
377.2478	1.6000	dynamic	25	1	0	246	248	229.7368
381.8786	1.6000	dynamic	25	0	0	246	272	247.5000
386.5097	1.6000	dynamic	25	0	0	246	298	262.1053
391.1406	1.6000	dynamic	25	1	0	246	267	271.1842
395.7710	1.6000	dynamic	25	1	1	3	16	267.6316
400.4021	1.6000	dynamic	25	0	0	3	21	35.5263
405.0326	1.6000	dynamic	25	0	0	3	1	26.8421
409.6638	1.6000	dynamic	25	1	0	3	18	20.9211
414.2933	1.6000	dynamic	25	1	0	3	10	18.9474
418.9252	1.6000	dynamic	25	0	0	3	2	15.7895
423.5560	1.6000	dynamic	25	1	0	3	23	12.2368
428.1872	1.6000	dynamic	25	1	0	3	27	16.9737
432.8177	1.6000	dynamic	25	1	0	3	1	20.5263
437.4484	1.6000	dynamic	25	0	0	3	32	14.6053
442.0795	1.6000	dynamic	25	1	0	3	27	25.6579
446.7099	1.6000	dynamic	25	0	0	3	19	26.8421
451.3407	1.6000	dynamic	25	1	0	3	78	22.1053
455.9718	1.6000	dynamic	25	0	0	3	3	56.4474
460.6024	1.6000	dynamic	25	0	0	3	4	35.9211
465.2335	1.6000	dynamic	25	1	0	3	43	21.7105
469.8640	1.6000	dynamic	25	0	0	3	29	33.1579
474.4950	1.6000	dynamic	25	0	0	3	7	31.1842
479.1257	1.6000	dynamic	25	0	0	3	36	25.2632
483.7563	1.6000	dynamic	25	1	0	3	24	34.3421
488.3875	1.6000	dynamic	25	0	0	3	17	29.6053
493.0183	1.6000	dynamic	25	1	0	3	10	25.6579
497.6656	1.6000	dynamic	25	0	0	3	7	19.7368
502.2955	1.6000	dynamic	25	1	0	3	22	15.3947
506.9274	1.6000	dynamic	25	0	0	3	11	20.9211
511.5739	1.6000	dynamic	25	0	0	3	19	16.5789
516.2057	1.6000	dynamic	25	1	0	3	11	16.5789
520.8530	1.6000	dynamic	25	0	0	3	0	14.6053
525.5008	1.6000	dynamic	25	0	0	3	13	11.0526
