onset	duration	trial_type	outcome noise	outcome value	isChangeTrial	current state	current outcome	current prediction
3.4108	1.6000	dynamic	10	0	0	271	279	154.7368
7.9935	1.6000	dynamic	10	0	0	271	253	276.7105
12.5599	1.6000	dynamic	10	1	0	271	257	264.0789
17.1432	1.6000	dynamic	10	0	0	271	263	260.5263
21.7262	1.6000	dynamic	10	0	0	271	290	261.7105
26.3089	1.6000	dynamic	10	0	0	271	261	266.8421
30.8920	1.6000	dynamic	10	0	0	271	284	263.6842
35.4754	1.6000	dynamic	10	1	0	271	281	268.8158
40.0584	1.6000	dynamic	10	0	0	271	267	273.5526
44.6414	1.6000	dynamic	10	0	1	16	13	270.7895
49.2245	1.6000	dynamic	10	0	0	16	4	22.8947
53.8073	1.6000	dynamic	10	1	0	16	16	11.8421
58.3901	1.6000	dynamic	10	0	1	126	132	14.2105
62.9736	1.6000	dynamic	10	0	0	126	115	127.8947
67.5567	1.6000	dynamic	10	1	0	126	125	121.5789
72.1394	1.6000	dynamic	10	1	0	126	127	124.3421
76.7225	1.6000	dynamic	10	0	0	126	122	126.3158
81.3056	1.6000	dynamic	10	0	0	126	123	122.7632
85.8888	1.6000	dynamic	10	0	0	126	118	122.3684
90.4885	1.6000	dynamic	10	0	0	126	131	121.1842
95.0716	1.6000	dynamic	10	0	0	126	118	124.3421
99.6713	1.6000	dynamic	10	0	0	126	129	120.3947
104.2543	1.6000	dynamic	10	1	0	126	128	122.3684
108.8547	1.6000	dynamic	10	0	0	126	138	122.7632
113.4534	1.6000	dynamic	10	0	0	126	117	125.9211
118.0364	1.6000	dynamic	10	1	0	126	122	121.1842
122.6362	1.6000	dynamic	10	0	1	178	172	123.1579
127.2362	1.6000	dynamic	10	1	0	178	190	163.0263
131.8192	1.6000	dynamic	10	0	0	178	180	176.4474
136.4189	1.6000	dynamic	10	0	0	178	185	177.6316
141.0182	1.6000	dynamic	10	0	0	178	181	183.1579
145.6017	1.6000	dynamic	10	0	0	178	178	183.1579
150.2013	1.6000	dynamic	10	0	1	161	164	183.5526
154.8013	1.6000	dynamic	10	1	0	161	153	180.7895
159.3837	1.6000	dynamic	10	1	0	161	151	172.8947
163.9835	1.6000	dynamic	10	0	0	161	160	157.8947
168.5835	1.6000	dynamic	10	0	0	161	173	158.6842
173.1832	1.6000	dynamic	10	0	0	161	168	163.0263
177.7663	1.6000	dynamic	10	0	0	161	172	166.5789
182.3660	1.6000	dynamic	10	0	0	161	172	166.9737
186.9657	1.6000	dynamic	10	0	0	161	171	168.9474
191.5651	1.6000	dynamic	10	1	0	161	176	171.7105
196.1648	1.6000	dynamic	10	0	0	161	162	173.2895
200.7648	1.6000	dynamic	10	1	0	161	160	170.5263
205.3642	1.6000	dynamic	10	1	0	161	151	166.9737
209.9642	1.6000	dynamic	10	0	0	161	175	161.8421
214.5636	1.6000	dynamic	10	1	0	161	154	168.5526
219.1637	1.6000	dynamic	10	0	0	161	140	158.2895
223.7633	1.6000	dynamic	10	1	0	161	160	151.5789
228.3630	1.6000	dynamic	10	1	0	161	168	157.1053
232.9624	1.6000	dynamic	10	0	0	161	154	164.6053
237.5621	1.6000	dynamic	10	1	0	161	177	158.6842
242.1622	1.6000	dynamic	10	0	0	161	162	167.7632
246.7615	1.6000	dynamic	10	0	0	161	158	165.0000
251.3612	1.6000	dynamic	10	1	0	161	166	162.6316
255.9613	1.6000	dynamic	10	1	0	161	162	164.2105
260.5610	1.6000	dynamic	10	0	0	161	141	163.4211
265.1606	1.6000	dynamic	10	0	0	161	174	158.6842
269.7603	1.6000	dynamic	10	0	1	294	299	164.2105
274.3768	1.6000	dynamic	10	1	0	294	279	286.1842
278.9763	1.6000	dynamic	10	1	0	294	291	284.2105
283.5758	1.6000	dynamic	10	0	0	294	284	286.9737
288.1758	1.6000	dynamic	10	0	0	294	289	284.2105
292.7756	1.6000	dynamic	10	0	0	294	297	287.7632
297.3752	1.6000	dynamic	10	0	1	241	240	292.1053
301.9917	1.6000	dynamic	10	1	0	241	239	278.2895
306.6080	1.6000	dynamic	10	0	0	241	240	248.6842
311.2075	1.6000	dynamic	10	1	0	241	228	244.7368
315.8244	1.6000	dynamic	10	1	0	241	253	236.8421
320.4738	1.6000	dynamic	10	0	0	241	227	242.3684
325.0902	1.6000	dynamic	10	1	0	241	231	236.4474
329.7065	1.6000	dynamic	10	1	0	241	245	234.4737
334.3227	1.6000	dynamic	10	0	0	241	228	239.2105
338.9393	1.6000	dynamic	10	1	0	241	242	234.4737
343.5557	1.6000	dynamic	10	0	0	241	258	238.0263
348.1887	1.6000	dynamic	10	0	0	241	241	247.1053
352.8054	1.6000	dynamic	10	1	1	45	18	243.1579
357.4218	1.6000	dynamic	10	0	0	45	52	30.7895
362.0378	1.6000	dynamic	10	1	0	45	33	37.8947
366.6542	1.6000	dynamic	10	0	0	45	44	33.9474
371.2705	1.6000	dynamic	10	1	0	45	49	39.4737
375.8869	1.6000	dynamic	10	0	0	45	41	43.4211
380.5199	1.6000	dynamic	10	0	0	45	25	40.6579
385.1363	1.6000	dynamic	10	1	0	45	49	35.1316
389.7691	1.6000	dynamic	10	1	0	45	49	40.6579
394.4024	1.6000	dynamic	10	1	0	45	41	41.8421
399.0351	1.6000	dynamic	10	0	0	45	44	39.0789
403.6684	1.6000	dynamic	10	1	0	45	52	41.0526
408.3015	1.6000	dynamic	10	1	1	56	52	41.4474
412.9345	1.6000	dynamic	10	0	0	56	37	46.1842
417.5676	1.6000	dynamic	10	1	0	56	51	41.4474
422.2006	1.6000	dynamic	10	0	0	56	48	47.7632
426.8337	1.6000	dynamic	10	1	0	56	81	50.5263
431.4664	1.6000	dynamic	10	1	0	56	53	64.3421
436.0997	1.6000	dynamic	10	0	0	56	47	55.6579
440.7328	1.6000	dynamic	10	1	0	56	53	57.6316
445.3655	1.6000	dynamic	10	0	0	56	54	58.8158
449.9988	1.6000	dynamic	10	1	1	258	255	58.4211
454.6318	1.6000	dynamic	10	0	0	258	251	254.6053
459.2646	1.6000	dynamic	10	1	0	258	262	252.6316
463.9147	1.6000	dynamic	10	0	0	258	239	257.3684
468.5643	1.6000	dynamic	10	0	0	258	253	251.0526
473.2137	1.6000	dynamic	10	0	0	258	243	253.0263
477.8650	1.6000	dynamic	10	1	0	258	274	253.4211
482.5134	1.6000	dynamic	10	0	0	258	263	258.5526
487.1632	1.6000	dynamic	10	0	0	258	268	260.9211
491.8124	1.6000	dynamic	10	0	0	258	267	265.2632
496.4625	1.6000	dynamic	10	1	0	258	273	266.0526
501.1123	1.6000	dynamic	10	1	0	258	262	270.0000
505.7616	1.6000	dynamic	10	0	0	258	254	268.4211
510.4113	1.6000	dynamic	10	0	0	258	234	263.6842
515.0613	1.6000	dynamic	10	1	1	106	89	258.5526
519.7111	1.6000	dynamic	10	1	0	106	104	95.9211
524.3604	1.6000	dynamic	10	0	0	106	109	101.8421
529.0104	1.6000	dynamic	10	0	0	106	111	105.7895
533.6768	1.6000	dynamic	10	1	1	12	12	107.3684
538.3264	1.6000	dynamic	10	0	0	12	34	18.5526
542.9929	1.6000	dynamic	10	1	0	12	21	24.8684
547.6426	1.6000	dynamic	10	1	0	12	1	23.6842
552.3091	1.6000	dynamic	10	1	0	12	18	15.7895
