onset	duration	trial_type	outcome noise	outcome value	isChangeTrial	current state	current outcome	current prediction
3.4049	1.6000	dynamic	25	1	0	71	61	158.2895
7.9875	1.6000	dynamic	25	1	0	71	94	58.0263
12.5540	1.6000	dynamic	25	1	0	71	103	95.5263
17.1370	1.6000	dynamic	25	1	0	71	47	100.6579
21.7034	1.6000	dynamic	25	1	0	71	56	84.0789
26.2867	1.6000	dynamic	25	1	0	71	82	77.7632
30.8530	1.6000	dynamic	25	0	0	71	114	80.1316
35.4361	1.6000	dynamic	25	1	0	71	74	106.9737
40.0021	1.6000	dynamic	25	1	0	71	92	80.5263
44.5852	1.6000	dynamic	25	0	0	71	54	88.8158
49.1515	1.6000	dynamic	25	1	0	71	31	80.5263
53.7349	1.6000	dynamic	25	1	0	71	52	64.3421
58.3180	1.6000	dynamic	25	0	0	71	84	59.2105
62.9010	1.6000	dynamic	25	0	0	71	38	58.4211
67.4842	1.6000	dynamic	25	1	0	71	29	58.4211
72.0671	1.6000	dynamic	25	1	0	71	60	57.6316
76.6498	1.6000	dynamic	25	1	0	71	31	57.2368
81.2328	1.6000	dynamic	25	0	0	71	51	53.2895
85.8159	1.6000	dynamic	25	1	0	71	51	53.6842
90.3992	1.6000	dynamic	25	1	0	71	126	53.2895
94.9823	1.6000	dynamic	25	1	0	71	42	123.5526
99.5652	1.6000	dynamic	25	0	0	71	55	89.2105
104.1487	1.6000	dynamic	25	1	0	71	57	81.7105
108.7314	1.6000	dynamic	25	1	0	71	46	80.9211
113.3145	1.6000	dynamic	25	0	0	71	101	71.8421
117.8975	1.6000	dynamic	25	1	0	71	101	72.2368
122.4802	1.6000	dynamic	25	1	0	71	81	73.8158
127.0636	1.6000	dynamic	25	1	0	71	99	76.9737
131.6466	1.6000	dynamic	25	0	0	71	27	80.1316
136.2293	1.6000	dynamic	25	1	0	71	40	77.3684
140.8127	1.6000	dynamic	25	0	0	71	105	71.8421
145.3957	1.6000	dynamic	25	0	0	71	87	71.4474
149.9954	1.6000	dynamic	25	1	0	71	25	73.8158
154.6951	1.6000	dynamic	25	0	0	71	42	69.8684
159.2948	1.6000	dynamic	25	0	0	71	71	66.7105
163.8775	1.6000	dynamic	25	1	0	71	88	69.0789
168.4773	1.6000	dynamic	25	1	0	71	57	70.2632
173.0606	1.6000	dynamic	25	1	0	71	99	68.2895
177.6606	1.6000	dynamic	25	1	0	71	47	70.6579
182.2600	1.6000	dynamic	25	1	1	262	267	68.6842
186.8430	1.6000	dynamic	25	0	0	262	255	265.2632
191.4428	1.6000	dynamic	25	0	0	262	282	260.9211
196.0422	1.6000	dynamic	25	0	1	96	104	261.3158
200.6250	1.6000	dynamic	25	0	0	96	71	105.7895
205.2249	1.6000	dynamic	25	1	0	96	85	89.6053
209.8416	1.6000	dynamic	25	0	0	96	101	91.1842
214.4577	1.6000	dynamic	25	1	0	96	75	92.3684
219.0573	1.6000	dynamic	25	0	0	96	68	92.7632
223.6574	1.6000	dynamic	25	1	0	96	48	91.9737
228.2568	1.6000	dynamic	25	0	0	96	108	82.5000
232.8565	1.6000	dynamic	25	1	0	96	99	84.4737
237.4590	1.6000	dynamic	25	0	0	96	96	85.2632
242.0723	1.6000	dynamic	25	1	0	96	94	86.8421
246.6722	1.6000	dynamic	25	1	0	96	111	88.8158
