onset	duration	trial_type	outcome noise	outcome value	isChangeTrial	current state	current outcome	current prediction
3.4149	1.6000	dynamic	10	0	0	280	285	151.1842
8.2647	1.6000	dynamic	10	0	0	280	274	284.2105
12.8310	1.6000	dynamic	10	0	0	280	274	279.8684
17.3975	1.6000	dynamic	10	1	0	280	282	275.1316
21.9638	1.6000	dynamic	10	1	0	280	279	277.8947
26.5469	1.6000	dynamic	10	1	0	280	287	277.8947
31.1299	1.6000	dynamic	10	0	0	280	286	280.2632
35.6962	1.6000	dynamic	10	0	0	280	295	282.2368
40.2793	1.6000	dynamic	10	0	0	280	291	285.7895
44.8624	1.6000	dynamic	10	0	0	280	286	285.7895
49.4624	1.6000	dynamic	10	1	0	280	281	286.9737
54.0618	1.6000	dynamic	10	0	0	280	280	283.8158
58.6474	1.6000	dynamic	10	1	0	280	293	283.0263
63.2278	1.6000	dynamic	10	0	0	280	274	283.4211
67.8109	1.6000	dynamic	10	1	0	280	256	282.2368
72.3774	1.6000	dynamic	10	0	0	280	271	277.8947
76.9772	1.6000	dynamic	10	1	0	280	259	278.2895
81.5600	1.6000	dynamic	10	0	0	280	293	277.8947
86.1434	1.6000	dynamic	10	1	0	280	260	279.0789
90.7288	1.6000	dynamic	10	0	0	280	288	278.6842
95.3257	1.6000	dynamic	10	0	0	280	294	280.2632
99.9121	1.6000	dynamic	10	0	0	280	287	279.8684
104.5117	1.6000	dynamic	10	1	0	280	278	283.0263
109.1082	1.6000	dynamic	10	1	0	280	273	277.8947
113.7416	1.6000	dynamic	10	0	0	280	278	279.0789
118.3243	1.6000	dynamic	10	1	0	280	279	250.2632
122.9073	1.6000	dynamic	10	1	0	280	285	274.7368
127.4907	1.6000	dynamic	10	1	0	280	289	275.9211
132.0737	1.6000	dynamic	10	1	0	280	296	279.0789
136.6567	1.6000	dynamic	10	1	0	280	285	285.3947
141.2397	1.6000	dynamic	10	0	0	280	279	280.6579
145.8229	1.6000	dynamic	10	0	0	280	282	283.8158
150.4059	1.6000	dynamic	10	0	0	280	268	283.8158
154.9917	1.6000	dynamic	10	0	0	280	284	280.6579
159.5883	1.6000	dynamic	10	0	1	197	190	282.2368
164.1713	1.6000	dynamic	10	0	0	197	210	190.6579
168.7710	1.6000	dynamic	10	0	0	197	179	202.1053
173.3708	1.6000	dynamic	10	0	0	197	191	190.6579
