onset	duration	trial_type	outcome noise	outcome value	isChangeTrial	current state	current outcome	current prediction
3.2557	1.6000	dynamic	25	0	0	12	29	147.6316
7.8864	1.6000	dynamic	25	1	0	12	23	50.9211
12.4845	1.6000	dynamic	25	0	0	12	2	36.7105
17.0973	1.6000	dynamic	25	0	0	12	3	22.8947
21.6948	1.6000	dynamic	25	1	0	12	37	17.7632
26.3093	1.6000	dynamic	25	0	0	12	20	33.1579
30.9066	1.6000	dynamic	25	0	0	12	34	30.7895
35.5041	1.6000	dynamic	25	0	0	12	34	32.7632
40.1016	1.6000	dynamic	25	0	0	12	75	35.5263
44.7154	1.6000	dynamic	25	0	0	12	11	35.5263
49.3288	1.6000	dynamic	25	1	0	12	24	35.1316
53.9434	1.6000	dynamic	25	1	0	12	23	33.5526
58.5578	1.6000	dynamic	25	1	1	195	158	30.3947
63.1714	1.6000	dynamic	25	0	0	195	228	146.4474
67.7852	1.6000	dynamic	25	0	0	195	223	148.0263
72.3994	1.6000	dynamic	25	0	0	195	206	201.7105
77.0143	1.6000	dynamic	25	1	0	195	192	201.7105
81.6281	1.6000	dynamic	25	1	0	195	186	196.9737
86.2415	1.6000	dynamic	25	1	0	195	203	195.3947
90.8561	1.6000	dynamic	25	1	0	195	177	202.5000
95.4705	1.6000	dynamic	25	1	0	195	227	200.9211
100.0848	1.6000	dynamic	25	1	0	195	185	203.6842
104.6991	1.6000	dynamic	25	1	0	195	203	200.9211
109.3127	1.6000	dynamic	25	1	0	195	184	202.1053
113.9263	1.6000	dynamic	25	1	0	195	189	198.9474
118.5398	1.6000	dynamic	25	1	1	251	239	195.3947
123.1541	1.6000	dynamic	25	1	0	251	263	200.9211
127.7694	1.6000	dynamic	25	1	0	251	258	239.6053
132.3836	1.6000	dynamic	25	1	0	251	215	241.9737
136.9964	1.6000	dynamic	25	0	0	251	230	232.5000
141.6116	1.6000	dynamic	25	0	0	251	267	229.7368
146.2258	1.6000	dynamic	25	1	0	251	251	229.7368
150.8387	1.6000	dynamic	25	1	1	64	63	233.2895
155.4871	1.6000	dynamic	25	1	0	64	23	69.8684
160.1016	1.6000	dynamic	25	0	0	64	36	66.3158
164.7148	1.6000	dynamic	25	0	0	64	83	44.2105
169.3284	1.6000	dynamic	25	0	0	64	76	52.1053
173.9429	1.6000	dynamic	25	0	0	64	42	57.2368
178.5568	1.6000	dynamic	25	0	0	64	100	54.4737
183.1713	1.6000	dynamic	25	0	0	64	25	59.2105
187.7849	1.6000	dynamic	25	1	0	64	83	54.4737
192.3988	1.6000	dynamic	25	1	0	64	65	61.1842
197.0142	1.6000	dynamic	25	0	0	64	78	65.5263
201.6283	1.6000	dynamic	25	1	0	64	77	66.7105
206.2413	1.6000	dynamic	25	0	0	64	101	70.6579
210.8563	1.6000	dynamic	25	0	0	64	102	76.5789
215.4694	1.6000	dynamic	25	1	0	64	41	78.5526
220.1182	1.6000	dynamic	25	0	0	64	85	75.3947
224.7311	1.6000	dynamic	25	1	1	19	73	76.5789
229.3452	1.6000	dynamic	25	1	0	19	13	74.6053
233.9592	1.6000	dynamic	25	0	0	19	11	47.7632
238.5912	1.6000	dynamic	25	0	0	19	4	24.0789
243.2041	1.6000	dynamic	25	1	1	201	164	18.9474
247.8181	1.6000	dynamic	25	1	0	201	206	158.6842
252.4327	1.6000	dynamic	25	1	0	201	194	195.0000
257.0474	1.6000	dynamic	25	1	0	201	237	193.8158
261.6607	1.6000	dynamic	25	0	0	201	190	223.8158
266.2757	1.6000	dynamic	25	0	0	201	168	215.5263
270.8887	1.6000	dynamic	25	1	0	201	162	197.3684
275.5026	1.6000	dynamic	25	1	0	201	189	183.9474
280.1181	1.6000	dynamic	25	1	0	201	175	185.1316
284.7320	1.6000	dynamic	25	1	0	201	200	179.2105
289.3451	1.6000	dynamic	25	1	0	201	216	189.8684
293.9593	1.6000	dynamic	25	0	0	201	204	205.2632
298.5734	1.6000	dynamic	25	1	0	201	213	196.9737
303.2042	1.6000	dynamic	25	0	0	201	173	212.7632
307.8182	1.6000	dynamic	25	0	0	201	227	187.5000
312.4491	1.6000	dynamic	25	0	0	201	221	195.3947
317.0801	1.6000	dynamic	25	1	0	201	216	200.5263
321.7117	1.6000	dynamic	25	1	0	201	163	199.3421
326.3414	1.6000	dynamic	25	1	1	104	174	190.6579
330.9729	1.6000	dynamic	25	1	0	104	86	188.2895
335.6039	1.6000	dynamic	25	1	0	104	138	93.5526
340.2350	1.6000	dynamic	25	1	0	104	119	119.6053
344.8647	1.6000	dynamic	25	1	0	104	144	120.0000
349.4955	1.6000	dynamic	25	1	0	104	74	129.0789
