onset	duration	trial_type	outcome noise	outcome value	isChangeTrial	current state	current outcome	current prediction
3.4194	1.6000	dynamic	10	1	0	92	83	151.9737
7.9863	1.6000	dynamic	10	1	0	92	94	86.0526
12.5687	1.6000	dynamic	10	0	0	92	96	90.7895
17.1518	1.6000	dynamic	10	1	0	92	106	94.7368
21.7348	1.6000	dynamic	10	1	0	92	86	101.8421
26.3179	1.6000	dynamic	10	1	0	92	105	88.4211
30.9012	1.6000	dynamic	10	1	1	103	107	94.7368
35.4839	1.6000	dynamic	10	1	0	103	90	100.2632
40.0672	1.6000	dynamic	10	1	0	103	112	98.2895
44.6333	1.6000	dynamic	10	1	0	103	87	102.2368
49.2000	1.6000	dynamic	10	1	0	103	106	98.2895
53.7830	1.6000	dynamic	10	1	0	103	103	100.6579
58.3494	1.6000	dynamic	10	0	0	103	101	101.8421
62.9324	1.6000	dynamic	10	1	0	103	115	102.2368
67.5154	1.6000	dynamic	10	1	0	103	89	103.0263
72.0982	1.6000	dynamic	10	1	0	103	95	106.1842
76.6812	1.6000	dynamic	10	0	0	103	102	105.0000
81.2644	1.6000	dynamic	10	1	0	103	90	103.4211
85.8477	1.6000	dynamic	10	1	0	103	97	101.8421
90.4307	1.6000	dynamic	10	0	0	103	109	102.2368
95.0134	1.6000	dynamic	10	0	0	103	99	101.8421
99.5965	1.6000	dynamic	10	0	0	103	98	99.4737
104.1810	1.6000	dynamic	10	1	0	103	106	99.4737
108.7628	1.6000	dynamic	10	0	1	107	117	103.8158
113.3459	1.6000	dynamic	10	0	0	107	97	105.3947
117.9289	1.6000	dynamic	10	0	0	107	106	106.5789
122.5119	1.6000	dynamic	10	1	0	107	112	105.7895
127.0946	1.6000	dynamic	10	1	0	107	112	108.9474
131.6777	1.6000	dynamic	10	1	0	107	104	109.7368
136.2607	1.6000	dynamic	10	1	0	107	112	106.1842
140.8438	1.6000	dynamic	10	1	0	107	101	110.9211
145.4438	1.6000	dynamic	10	1	0	107	115	108.9474
150.0265	1.6000	dynamic	10	1	0	107	118	111.3158
154.6099	1.6000	dynamic	10	1	0	107	100	114.4737
159.2093	1.6000	dynamic	10	1	0	107	120	113.2895
163.7924	1.6000	dynamic	10	1	0	107	121	112.8947
168.3924	1.6000	dynamic	10	1	0	107	111	115.6579
172.9921	1.6000	dynamic	10	1	1	17	9	113.6842
177.5748	1.6000	dynamic	10	1	0	17	24	15.3947
182.1745	1.6000	dynamic	10	1	0	17	30	16.9737
186.7575	1.6000	dynamic	10	0	0	17	20	25.6579
191.3572	1.6000	dynamic	10	0	0	17	28	23.2895
195.9572	1.6000	dynamic	10	0	1	233	245	26.4474
200.5569	1.6000	dynamic	10	0	0	233	240	245.5263
205.1397	1.6000	dynamic	10	1	0	233	218	243.9474
209.7398	1.6000	dynamic	10	1	0	233	205	234.0789
214.3394	1.6000	dynamic	10	1	0	233	223	223.0263
218.9225	1.6000	dynamic	10	1	0	233	227	221.8421
223.5221	1.6000	dynamic	10	0	1	70	71	226.1842
228.1217	1.6000	dynamic	10	1	0	70	72	74.2105
232.7046	1.6000	dynamic	10	1	0	70	81	71.0526
237.3052	1.6000	dynamic	10	1	1	60	69	78.1579
241.9043	1.6000	dynamic	10	1	0	60	55	71.0526
