onset	duration	trial_type	outcome noise	outcome value	isChangeTrial	current state	current outcome	current prediction
3.4098	1.6000	dynamic	25	0	0	43	3	139.7368
7.9760	1.6000	dynamic	25	1	0	43	61	33.5526
12.5591	1.6000	dynamic	25	1	0	43	25	46.9737
17.1256	1.6000	dynamic	25	0	0	43	37	35.5263
21.7082	1.6000	dynamic	25	0	0	43	23	35.1316
26.2749	1.6000	dynamic	25	0	0	43	51	35.9211
30.8412	1.6000	dynamic	25	0	1	123	104	39.0789
35.4247	1.6000	dynamic	25	0	0	123	82	52.5000
40.0074	1.6000	dynamic	25	0	0	123	135	65.1316
44.5739	1.6000	dynamic	25	0	0	123	128	94.7368
49.1399	1.6000	dynamic	25	1	0	123	118	110.9211
53.7229	1.6000	dynamic	25	1	0	123	114	116.4474
58.2752	1.6000	dynamic	25	0	0	123	169	113.6842
62.8724	1.6000	dynamic	25	0	0	123	116	166.1842
67.4553	1.6000	dynamic	25	1	1	225	225	144.4737
72.0387	1.6000	dynamic	25	0	0	225	188	271.1842
76.6218	1.6000	dynamic	25	1	0	225	213	191.0526
81.2214	1.6000	dynamic	25	1	0	225	255	204.4737
85.8042	1.6000	dynamic	25	1	0	225	222	231.7105
90.3872	1.6000	dynamic	25	1	1	130	144	226.9737
94.9705	1.6000	dynamic	25	0	0	130	133	153.9474
99.5536	1.6000	dynamic	25	1	0	130	129	140.1316
104.1363	1.6000	dynamic	25	1	0	130	114	136.5789
108.7197	1.6000	dynamic	25	0	0	130	101	131.8421
113.3024	1.6000	dynamic	25	0	0	130	154	127.1053
117.8854	1.6000	dynamic	25	0	0	130	162	131.4474
122.4684	1.6000	dynamic	25	1	0	130	111	134.6053
127.0515	1.6000	dynamic	25	1	0	130	125	132.2368
131.6515	1.6000	dynamic	25	0	0	130	101	130.2632
136.2342	1.6000	dynamic	25	0	0	130	126	119.2105
140.8173	1.6000	dynamic	25	1	0	130	143	124.7368
145.4003	1.6000	dynamic	25	0	0	130	160	125.9211
149.9860	1.6000	dynamic	25	0	0	130	78	133.4211
154.5834	1.6000	dynamic	25	1	0	130	130	126.3158
159.1663	1.6000	dynamic	25	1	0	130	144	128.6842
163.7492	1.6000	dynamic	25	1	0	130	105	133.8158
168.3322	1.6000	dynamic	25	1	0	130	145	130.6579
172.9319	1.6000	dynamic	25	1	0	130	123	134.6053
177.5149	1.6000	dynamic	25	1	0	130	95	128.6842
182.1146	1.6000	dynamic	25	0	0	130	159	124.7368
186.6976	1.6000	dynamic	25	0	0	130	159	133.4211
191.2974	1.6000	dynamic	25	1	0	130	121	133.8158
195.8970	1.6000	dynamic	25	1	0	130	92	124.3421
200.4801	1.6000	dynamic	25	1	0	130	138	110.5263
205.0798	1.6000	dynamic	25	1	0	130	150	122.3684
209.6795	1.6000	dynamic	25	1	0	130	115	145.6579
214.2792	1.6000	dynamic	25	0	0	130	156	131.0526
218.8623	1.6000	dynamic	25	1	0	130	83	141.3158
223.4620	1.6000	dynamic	25	1	1	263	251	91.5789
228.0617	1.6000	dynamic	25	0	0	263	266	246.3158
232.6614	1.6000	dynamic	25	0	0	263	258	253.8158
237.2614	1.6000	dynamic	25	0	0	263	260	257.7632
241.8608	1.6000	dynamic	25	0	0	263	253	258.5526
246.4605	1.6000	dynamic	25	0	0	263	245	256.1842
251.0602	1.6000	dynamic	25	1	0	263	279	255.0000
255.6598	1.6000	dynamic	25	0	0	263	268	273.9474
260.2433	1.6000	dynamic	25	0	0	263	247	271.9737
264.8430	1.6000	dynamic	25	1	0	263	267	268.4211
269.4427	1.6000	dynamic	25	0	0	263	264	263.2895
274.0424	1.6000	dynamic	25	1	0	263	260	262.5000
278.6421	1.6000	dynamic	25	0	0	263	289	257.3684
