onset	duration	trial_type	outcome noise	outcome value	isChangeTrial	current state	current outcome	current prediction
3.4069	1.6000	dynamic	25	0	0	132	113	188.2895
7.9902	1.6000	dynamic	25	0	0	132	141	125.5263
12.5565	1.6000	dynamic	25	1	0	132	99	139.7368
17.1396	1.6000	dynamic	25	0	0	132	103	102.6316
21.7057	1.6000	dynamic	25	0	0	132	151	105.3947
26.2720	1.6000	dynamic	25	0	0	132	155	149.6053
30.8884	1.6000	dynamic	25	1	0	132	106	148.4211
35.4715	1.6000	dynamic	25	1	0	132	131	109.7368
40.0577	1.6000	dynamic	25	0	0	132	134	129.0789
44.6375	1.6000	dynamic	25	0	1	216	206	131.4474
49.2206	1.6000	dynamic	25	1	0	216	212	204.4737
53.8043	1.6000	dynamic	25	1	0	216	223	211.5789
58.3870	1.6000	dynamic	25	0	1	114	84	224.2105
62.9697	1.6000	dynamic	25	0	0	114	66	106.5789
67.5527	1.6000	dynamic	25	0	0	114	104	74.2105
72.1386	1.6000	dynamic	25	0	0	114	175	105.7895
76.7354	1.6000	dynamic	25	0	0	114	116	178.0263
81.3185	1.6000	dynamic	25	1	0	114	136	118.4211
85.9018	1.6000	dynamic	25	1	0	114	100	135.3947
90.4849	1.6000	dynamic	25	0	0	114	128	103.8158
95.0682	1.6000	dynamic	25	1	0	114	79	128.2895
99.6507	1.6000	dynamic	25	0	0	114	123	80.5263
104.2337	1.6000	dynamic	25	1	0	114	82	123.5526
108.8168	1.6000	dynamic	25	1	1	56	87	84.4737
113.3998	1.6000	dynamic	25	0	0	56	18	88.0263
117.9828	1.6000	dynamic	25	0	0	56	41	24.4737
122.5662	1.6000	dynamic	25	0	0	56	77	40.2632
127.1515	1.6000	dynamic	25	0	0	56	1	78.9474
131.7489	1.6000	dynamic	25	1	0	56	72	25.2632
136.3317	1.6000	dynamic	25	0	1	75	64	69.4737
140.9320	1.6000	dynamic	25	0	0	75	70	65.5263
145.5313	1.6000	dynamic	25	0	0	75	90	67.5000
150.1145	1.6000	dynamic	25	1	0	75	46	88.0263
154.7138	1.6000	dynamic	25	1	0	75	62	50.1316
159.3135	1.6000	dynamic	25	1	0	75	105	60.3947
163.9136	1.6000	dynamic	25	0	1	147	174	103.0263
168.4963	1.6000	dynamic	25	1	0	147	191	165.7895
173.0960	1.6000	dynamic	25	1	0	147	136	188.2895
177.6790	1.6000	dynamic	25	0	0	147	176	139.3421
182.2787	1.6000	dynamic	25	1	0	147	122	173.6842
186.8784	1.6000	dynamic	25	1	0	147	166	159.8684
191.4781	1.6000	dynamic	25	0	0	147	84	143.6842
196.0615	1.6000	dynamic	25	0	0	147	106	112.8947
