onset	duration	trial_type	outcome noise	outcome value	isChangeTrial	current state	current outcome	current prediction
3.4180	1.6000	dynamic	25	1	0	36	46	115.6579
8.2673	1.6000	dynamic	25	1	0	36	51	66.3158
12.8506	1.6000	dynamic	25	1	0	36	65	53.6842
17.4167	1.6000	dynamic	25	1	0	36	29	64.3421
21.9997	1.6000	dynamic	25	1	0	36	35	32.3684
26.5831	1.6000	dynamic	25	1	0	36	23	37.8947
31.1660	1.6000	dynamic	25	1	0	36	17	25.2632
35.7488	1.6000	dynamic	25	0	1	24	48	18.1579
40.3318	1.6000	dynamic	25	1	0	24	25	47.7632
44.9315	1.6000	dynamic	25	1	0	24	63	31.5789
49.5146	1.6000	dynamic	25	0	0	24	17	67.1053
54.1005	1.6000	dynamic	25	1	0	24	59	28.8158
58.6973	1.6000	dynamic	25	1	0	24	69	64.3421
63.2804	1.6000	dynamic	25	1	0	24	6	65.5263
67.8633	1.6000	dynamic	25	0	0	24	31	15.7895
72.4465	1.6000	dynamic	25	0	0	24	27	25.2632
77.0295	1.6000	dynamic	25	0	1	284	282	26.0526
81.6125	1.6000	dynamic	25	1	0	284	265	249.0789
86.1985	1.6000	dynamic	25	1	0	284	240	258.1579
90.7955	1.6000	dynamic	25	1	0	284	255	237.6316
95.3783	1.6000	dynamic	25	1	0	284	294	250.6579
99.9617	1.6000	dynamic	25	1	0	284	282	287.3684
104.5614	1.6000	dynamic	25	0	0	284	272	283.4211
109.1441	1.6000	dynamic	25	0	0	284	250	278.2895
113.7275	1.6000	dynamic	25	0	0	284	286	254.6053
118.3106	1.6000	dynamic	25	1	0	284	290	276.7105
122.8935	1.6000	dynamic	25	1	0	284	290	284.2105
127.4763	1.6000	dynamic	25	0	0	284	299	279.0789
132.0596	1.6000	dynamic	25	1	0	284	246	284.6053
136.6454	1.6000	dynamic	25	1	1	95	93	252.2368
141.2424	1.6000	dynamic	25	0	0	95	96	98.6842
145.8418	1.6000	dynamic	25	0	0	95	104	109.7368
150.4417	1.6000	dynamic	25	1	0	95	89	106.1842
155.0245	1.6000	dynamic	25	1	1	201	233	93.9474
159.6246	1.6000	dynamic	25	0	0	201	199	221.0526
164.3237	1.6000	dynamic	25	1	0	201	190	199.7368
168.9073	1.6000	dynamic	25	0	0	201	171	183.5526
173.5067	1.6000	dynamic	25	1	0	201	157	175.2632
178.0901	1.6000	dynamic	25	1	0	201	205	151.5789
182.6897	1.6000	dynamic	25	0	0	201	199	202.8947
187.2891	1.6000	dynamic	25	0	0	201	244	198.9474
191.8727	1.6000	dynamic	25	1	1	210	195	240.7895
196.4725	1.6000	dynamic	25	0	0	210	213	194.6053
201.0714	1.6000	dynamic	25	1	0	210	184	204.4737
205.6879	1.6000	dynamic	25	1	0	210	239	183.9474
210.2880	1.6000	dynamic	25	1	0	210	182	235.2632
214.8876	1.6000	dynamic	25	1	0	210	198	183.1579
219.4872	1.6000	dynamic	25	1	0	210	215	191.8421
224.1204	1.6000	dynamic	25	0	0	210	228	209.2105
228.7198	1.6000	dynamic	25	0	0	210	204	222.6316
233.3195	1.6000	dynamic	25	1	0	210	225	206.0526
237.9194	1.6000	dynamic	25	1	0	210	222	221.4474
242.5192	1.6000	dynamic	25	0	0	210	249	219.0789
247.1186	1.6000	dynamic	25	1	1	296	264	240.7895
251.7182	1.6000	dynamic	25	0	0	296	284	265.2632
