onset	duration	trial_type	outcome noise	outcome value	isChangeTrial	current state	current outcome	current prediction
3.2410	1.6000	dynamic	10	1	0	107	102	266.4474
7.8716	1.6000	dynamic	10	0	0	107	117	101.8421
12.4683	1.6000	dynamic	10	0	0	107	102	115.2632
17.0997	1.6000	dynamic	10	1	0	107	100	109.3421
21.6972	1.6000	dynamic	10	0	0	107	88	104.2105
26.2945	1.6000	dynamic	10	0	0	107	115	95.9211
30.9085	1.6000	dynamic	10	0	0	107	107	106.5789
35.5050	1.6000	dynamic	10	0	0	107	109	107.7632
40.1199	1.6000	dynamic	10	0	0	107	118	111.3158
44.7340	1.6000	dynamic	10	0	0	107	108	128.2895
49.3316	1.6000	dynamic	10	0	0	107	109	108.1579
53.9280	1.6000	dynamic	10	1	0	107	96	110.5263
58.5428	1.6000	dynamic	10	0	0	107	111	108.5526
63.1571	1.6000	dynamic	10	1	0	107	115	136.5789
67.7712	1.6000	dynamic	10	1	1	179	181	121.9737
72.3687	1.6000	dynamic	10	0	0	179	182	178.4211
76.9825	1.6000	dynamic	10	0	0	179	183	183.5526
81.5800	1.6000	dynamic	10	1	0	179	168	181.5789
86.1940	1.6000	dynamic	10	0	0	179	180	173.6842
90.8082	1.6000	dynamic	10	0	0	179	162	178.8158
95.4225	1.6000	dynamic	10	0	1	14	28	164.6053
100.0356	1.6000	dynamic	10	0	0	14	33	28.8158
104.6504	1.6000	dynamic	10	0	0	14	7	34.3421
109.2645	1.6000	dynamic	10	0	0	14	7	15.7895
113.8788	1.6000	dynamic	10	0	0	14	27	15.7895
118.4759	1.6000	dynamic	10	0	0	14	22	29.2105
123.0903	1.6000	dynamic	10	0	0	14	21	24.0789
127.7043	1.6000	dynamic	10	1	0	14	20	24.0789
132.3171	1.6000	dynamic	10	1	0	14	34	22.8947
136.9326	1.6000	dynamic	10	1	0	14	12	32.3684
141.5466	1.6000	dynamic	10	0	0	14	9	11.0526
146.1607	1.6000	dynamic	10	1	0	14	7	10.2632
150.7747	1.6000	dynamic	10	0	0	14	15	7.5000
155.3877	1.6000	dynamic	10	0	0	14	30	14.6053
160.0029	1.6000	dynamic	10	0	0	14	35	34.3421
164.6169	1.6000	dynamic	10	0	0	14	10	37.5000
169.2310	1.6000	dynamic	10	0	0	14	11	12.6316
